11/2/2015 9:41, 	5.693,	    98.314,	  5.693,      98.314
11/2/2015 9:51, 	5.693,	    98.314,	  5.693,      98.314
11/2/2015 10:01, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 10:11, 	 5.693,	     98.314,	   5.668,      98.301
11/2/2015 10:21, 	 5.668,	     98.301,	   5.642,      98.287
11/2/2015 10:31, 	 5.668,	     98.301,	   5.642,      98.287
11/2/2015 10:41, 	 5.668,	     98.301,	   5.642,      98.287
11/2/2015 10:51, 	 5.668,	     98.301,	   5.668,      98.301
11/2/2015 11:01, 	 5.668,	     98.301,	   5.642,      98.287
11/2/2015 11:11, 	 5.668,	     98.301,	   5.668,      98.301
11/2/2015 11:21, 	 5.668,	     98.301,	   5.668,      98.301
11/2/2015 11:31, 	 5.668,	     98.301,	   5.642,      98.287
11/2/2015 11:41, 	 5.668,	     98.301,	   5.668,      98.301
11/2/2015 11:51, 	 5.693,	     98.314,	   5.668,      98.301
11/2/2015 12:01, 	 5.693,	     98.314,	   5.668,      98.301
11/2/2015 12:11, 	 5.693,	     98.314,	   5.668,      98.301
11/2/2015 12:21, 	 5.693,	     98.314,	   5.668,      98.301
11/2/2015 12:31, 	 5.693,	     98.314,	   5.668,      98.301
11/2/2015 12:41, 	 5.693,	     98.314,	   5.668,      98.301
11/2/2015 12:51, 	 5.693,	     98.314,	   5.668,      98.301
11/2/2015 13:01, 	 5.693,	     98.314,	   5.668,      98.301
11/2/2015 13:11, 	 5.693,	     98.314,	   5.668,      98.301
11/2/2015 13:21, 	 5.693,	     98.314,	   5.668,      98.301
11/2/2015 13:31, 	 5.693,	     98.314,	   5.668,      98.301
11/2/2015 13:41, 	 5.693,	     98.314,	   5.668,      98.301
11/2/2015 13:51, 	 5.693,	     98.314,	   5.668,      98.301
11/2/2015 14:01, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 14:11, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 14:21, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 14:31, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 14:41, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 14:51, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 15:01, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 15:11, 	 5.719,	     98.328,	   5.693,      98.314
11/2/2015 15:21, 	 5.719,	     98.328,	   5.693,      98.314
11/2/2015 15:31, 	 5.719,	     98.328,	   5.693,      98.314
11/2/2015 15:41, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 15:51, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 16:01, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 16:11, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 16:21, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 16:31, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 16:41, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 16:51, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 17:01, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 17:11, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 17:21, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 17:31, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 17:41, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 17:51, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 18:01, 	 5.719,	     98.328,	   5.693,      98.314
11/2/2015 18:11, 	 5.719,	     98.328,	   5.693,      98.314
11/2/2015 18:21, 	 5.719,	     98.328,	   5.693,      98.314
11/2/2015 18:31, 	 5.719,	     98.328,	   5.719,      98.328
11/2/2015 18:41, 	 5.745,	     98.342,	   5.719,      98.328
11/2/2015 18:51, 	 5.745,	     98.342,	   5.719,      98.328
11/2/2015 19:01, 	 5.745,	     98.342,	   5.719,      98.328
11/2/2015 19:11, 	 5.745,	     98.342,	   5.719,      98.328
11/2/2015 19:21, 	 5.745,	     98.342,	   5.719,      98.328
11/2/2015 19:31, 	 5.745,	     98.342,	   5.719,      98.328
11/2/2015 19:41, 	 5.745,	     98.342,	   5.745,      98.342
11/2/2015 19:51, 	 5.770,	     98.355,	   5.745,      98.342
11/2/2015 20:01, 	 5.770,	     98.355,	   5.745,      98.342
11/2/2015 20:11, 	 5.745,	     98.342,	   5.719,      98.328
11/2/2015 20:21, 	 5.719,	     98.328,	   5.693,      98.314
11/2/2015 20:31, 	 5.719,	     98.328,	   5.693,      98.314
11/2/2015 20:41, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 20:51, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 21:01, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 21:11, 	 5.693,	     98.314,	   5.693,      98.314
11/2/2015 21:21, 	 5.693,	     98.314,	   5.693,      98.314
